,Sod,Swamp,Median_time_pt,veg,water_treatment,fire_treatment,Sod_biomass
1,CAT_CH_01,CAT,592,ch,H,b,48.9306
3,CAT_CH_02,CAT,592,ch,L,b,26.1981
5,CAT_CH_03,CAT,592,ch,L,b,59.6971
11,CAT_CH_06,CAT,592,ch,L,b,18.5527
13,CAT_CH_07,CAT,592,ch,H,b,57.6947
17,CAT_CH_09,CAT,592,ch,M,b,33.0692
21,CAT_CH_11,CAT,592,ch,M,b,29.914
23,CAT_CH_12,CAT,592,ch,H,b,32.5164
31,CAT_CH_16,CAT,592,ch,H,b,33.9921
37,CAT_CH_19,CAT,592,ch,M,b,31.6765
39,CAT_CH_20,CAT,592,ch,H,b,39.5064
43,CAT_CH_22,CAT,592,ch,L,b,11.8197
55,CAT_CH_28,CAT,592,ch,M,b,37.3533
57,CAT_CH_29,CAT,592,ch,L,b,19.0762
61,CAT_CH_31,CAT,592,ch,M,b,28.5251
65,CAT_TT_02,CAT,592,tt,M,b,29.2832
67,CAT_TT_03,CAT,592,tt,H,b,25.3119
71,CAT_TT_05,CAT,592,tt,H,b,20.6747
77,CAT_TT_08,CAT,592,tt,M,b,53.6688
81,CAT_TT_10,CAT,592,tt,L,b,19.624
87,CAT_TT_13,CAT,592,tt,L,b,21.8677
91,CAT_TT_15,CAT,592,tt,L,b,33.2004
93,CAT_TT_16,CAT,592,tt,M,b,23.5878
95,CAT_TT_17,CAT,592,tt,M,b,25.7616
99,CAT_TT_19,CAT,592,tt,L,b,30.7859
113,CAT_TT_26,CAT,592,tt,H,b,21.7963
117,CAT_TT_28,CAT,592,tt,H,b,63.305
119,CAT_TT_29,CAT,592,tt,L,b,37.055
121,CAT_TT_30,CAT,592,tt,M,b,8.5661
123,CAT_TT_31,CAT,592,tt,H,b,46.2588
127,DMP_CH_02,DMP,592,ch,H,b,25.9506
129,DMP_CH_03,DMP,592,ch,L,b,25.3399
131,DMP_CH_04,DMP,592,ch,M,b,26.4348
135,DMP_CH_06,DMP,592,ch,L,b,34.2488
139,DMP_CH_08,DMP,592,ch,H,b,30.3964
141,DMP_CH_09,DMP,592,ch,M,b,51.1654
149,DMP_CH_13,DMP,592,ch,M,b,40.9043
151,DMP_CH_14,DMP,592,ch,L,b,12.2709
155,DMP_CH_16,DMP,592,ch,L,b,8.66205
161,DMP_CH_19,DMP,592,ch,H,b,50.2329
165,DMP_CH_21,DMP,592,ch,L,b,34.8244
171,DMP_CH_24,DMP,592,ch,M,b,15.4835
175,DMP_CH_26,DMP,592,ch,H,b,4.3649
177,DMP_CH_27,DMP,592,ch,M,b,14.0329
179,DMP_CH_28,DMP,592,ch,H,b,27.0656
185,DMP_CH_31,DMP,592,ch,L,b,6.6162
187,DMP_TT_01,DMP,592,tt,H,b,35.9896
189,DMP_TT_02,DMP,592,tt,M,b,26.2391
197,DMP_TT_06,DMP,592,tt,L,b,25.5823
203,DMP_TT_09,DMP,592,tt,H,b,27.8557
205,DMP_TT_10,DMP,592,tt,H,b,29.3807
209,DMP_TT_12,DMP,592,tt,H,b,18.769
211,DMP_TT_13,DMP,592,tt,L,b,22.6589
213,DMP_TT_14,DMP,592,tt,M,b,47.6639
215,DMP_TT_15,DMP,592,tt,M,b,49.9334
217,DMP_TT_16,DMP,592,tt,M,b,19.7965
229,DMP_TT_22,DMP,592,tt,L,b,28.3448
231,DMP_TT_23,DMP,592,tt,L,b,12.7092
241,DMP_TT_28,DMP,592,tt,M,b,40.526
243,DMP_TT_29,DMP,592,tt,L,b,28.9125
247,DMP_TT_31,DMP,592,tt,H,b,25.103
253,KT_CH_03,KT,592,ch,H,b,9.9847
255,KT_CH_04,KT,592,ch,L,b,2.4906
265,KT_CH_09,KT,592,ch,H,b,21.1962
273,KT_CH_13,KT,592,ch,L,b,21.4042
