,Sod,Time_pt,Bank eric,Baue rubi,Chor spha,Damp stri,Empo minu,Epac obtu,Tetr turf,Ento stri,Gono micr,Mitr poly,Scho brev,Dill flor,Good dimo,Lepi limi,Lept squa,Lept poly,Viol sieb,Baec imbr,Gono sals,Lept juni,Lept tena,Sela ulig,Spre inca,Symp palu,Cass pube,Mono lini,Ptil deus,Chor cymb,Dros spat,Dros pelt,Lepi nees,Lepy scar,Baum rubi,Cryp eric,Styl line,Baec lini,Dros bina,Bank oblo,Boro parv,Lepi fili,Lept gran,Stac nuda,Lepi scar,Hake tere,Lind lini,Baum tere,Cony albi,Gahn sieb,Glei dica,Gono teuc,Isol inun,Junc plan,Deye deci,Glei micr,Utri late,Mela squa,Gymn spha,Vimi junc,Xyri oper,Cent fasc,Poma ferr,Ager aden,Andro virgi,Acac rubi,Blan nobi,Xyri ustu,Good bell,Thys junc,Eury comp,Xant resi,Xyris oper,Mitr palu,Bank robu,Xyri junc,Call citr,Vill exal,Spor grac,Lyco late,Baum gunn,Noto micr,Grev acan,Epac palu,Loma cyli,Pult diva,Plin para,Alma incu,Come retu,Epac micr,Scae albi,Loma long,Xant pilo,Acac ptyc
1,CAT_CH_01,6,0.4389,0.4717,24.2409,0,23.0101,0,0.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CAT_CH_01,9,0,0,19.3576,0,8.5156,0.0147,1.6672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CAT_CH_02,6,0,0,0,0,0.0715,0,1.9417,12.7664,0,0,11.4185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CAT_CH_02,9,0,0,0,0,0,0,7.1328,1.6619,0,0,11.7243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CAT_CH_03,6,0,0,0,0,16.6975,0.41,0,0.1059,0,0,3.2091,0.9687,1.1044,36.5751,0.6264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CAT_CH_03,9,0,0,0,0,7.5358,0,0,0,0,0,9.8506,0,0,3.6458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CAT_CH_04,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CAT_CH_04,9,0.6309,0,0,0,5.423,0,0.089,0.0411,0,0,0,0,0,16.9511,0,9.7485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CAT_CH_05,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CAT_CH_05,9,0,0,0,0,13.3184,0,0.6594,0,0,0,9.4037,0,0,3.835,0,0,0,0.9653,0,0,0.7284,0,1.5978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
