Sod,Swamp,Veg_type,Water_level,Soil_depth,Max_temp
CAT_CH_01,CAT,CH,H,1,40
CAT_CH_01,CAT,CH,H,3,27
CAT_CH_02,CAT,CH,L,1,56
CAT_CH_02,CAT,CH,L,3,29
CAT_CH_06,CAT,CH,L,1,126
CAT_CH_06,CAT,CH,L,3,49
CAT_CH_09,CAT,CH,M,1,41
CAT_CH_09,CAT,CH,M,3,28
CAT_CH_11,CAT,CH,M,1,29
CAT_CH_11,CAT,CH,M,3,
CAT_CH_12,CAT,CH,H,1,44
CAT_CH_12,CAT,CH,H,3,33
CAT_CH_16,CAT,CH,H,1,27
CAT_CH_16,CAT,CH,H,3,30
CAT_CH_19,CAT,CH,M,1,48
CAT_CH_19,CAT,CH,M,3,32
CAT_CH_20,CAT,CH,H,1,26
CAT_CH_20,CAT,CH,H,3,23
CAT_CH_22,CAT,CH,L,1,49
CAT_CH_22,CAT,CH,L,3,31
CAT_CH_28,CAT,CH,M,1,49
CAT_CH_28,CAT,CH,M,3,30
CAT_CH_29,CAT,CH,L,1,82
CAT_CH_29,CAT,CH,L,3,32
CAT_CH_31,CAT,CH,M,1,26
CAT_CH_31,CAT,CH,M,3,24
CAT_TT_02,CAT,TT,M,1,41
CAT_TT_02,CAT,TT,M,3,33
CAT_TT_03,CAT,TT,H,1,39
CAT_TT_03,CAT,TT,H,3,29
CAT_TT_05,CAT,TT,H,1,29
CAT_TT_05,CAT,TT,H,3,24
CAT_TT_08,CAT,TT,M,1,69
CAT_TT_08,CAT,TT,M,3,
CAT_TT_10,CAT,TT,L,1,42
CAT_TT_10,CAT,TT,L,3,32
CAT_TT_13,CAT,TT,L,1,31
CAT_TT_13,CAT,TT,L,3,27
CAT_TT_15,CAT,TT,L,1,106
CAT_TT_15,CAT,TT,L,3,37
CAT_TT_17,CAT,TT,M,1,30
CAT_TT_17,CAT,TT,M,3,22
CAT_TT_26,CAT,TT,L,1,126
CAT_TT_26,CAT,TT,L,3,86
CAT_TT_28,CAT,TT,H,1,36
CAT_TT_28,CAT,TT,H,3,27
CAT_TT_30,CAT,TT,M,1,42
CAT_TT_30,CAT,TT,M,3,30
CAT_TT_31,CAT,TT,H,1,51
CAT_TT_31,CAT,TT,H,3,
DMP_CH_02,DMP,CH,H,1,60
DMP_CH_02,DMP,CH,H,3,30
DMP_CH_03,DMP,CH,L,1,38
DMP_CH_03,DMP,CH,L,3,33
DMP_CH_04,DMP,CH,M,1,64
DMP_CH_04,DMP,CH,M,3,39
DMP_CH_06,DMP,CH,L,1,103
DMP_CH_06,DMP,CH,L,3,39
DMP_CH_08,DMP,CH,H,1,51
DMP_CH_08,DMP,CH,H,3,34
DMP_CH_09,DMP,CH,M,1,40
DMP_CH_09,DMP,CH,M,3,26
DMP_CH_13,DMP,CH,M,1,34
DMP_CH_13,DMP,CH,M,3,31
DMP_CH_14,DMP,CH,L,1,124
DMP_CH_14,DMP,CH,L,3,42
DMP_CH_16,DMP,CH,L,1,32
DMP_CH_16,DMP,CH,L,3,27
DMP_CH_19,DMP,CH,H,1,27
DMP_CH_19,DMP,CH,H,3,22
DMP_CH_21,DMP,CH,L,1,125
DMP_CH_21,DMP,CH,L,3,
DMP_CH_26,DMP,CH,H,1,45
DMP_CH_26,DMP,CH,H,3,41
DMP_CH_27,DMP,CH,M,1,62
DMP_CH_27,DMP,CH,M,3,30
DMP_CH_28,DMP,CH,H,1,27
DMP_CH_28,DMP,CH,H,3,28
DMP_CH_31,DMP,CH,L,1,68
DMP_CH_31,DMP,CH,L,3,38
DMP_TT_01,DMP,TT,H,1,26
DMP_TT_01,DMP,TT,H,3,20
DMP_TT_02,DMP,TT,M,1,35
DMP_TT_02,DMP,TT,M,3,31
DMP_TT_06,DMP,TT,L,1,71
DMP_TT_06,DMP,TT,L,3,28
DMP_TT_09,DMP,TT,H,1,29
DMP_TT_09,DMP,TT,H,3,26
DMP_TT_10,DMP,TT,H,1,40
DMP_TT_10,DMP,TT,H,3,32
DMP_TT_12,DMP,TT,H,1,43
DMP_TT_12,DMP,TT,H,3,32
DMP_TT_14,DMP,TT,M,1,27
DMP_TT_14,DMP,TT,M,3,27
DMP_TT_16,DMP,TT,M,1,59
DMP_TT_16,DMP,TT,M,3,37
DMP_TT_22,DMP,TT,L,1,73
DMP_TT_22,DMP,TT,L,3,41
DMP_TT_23,DMP,TT,L,1,126
DMP_TT_23,DMP,TT,L,3,80
DMP_TT_28,DMP,TT,M,1,40
DMP_TT_28,DMP,TT,M,3,32
DMP_TT_29,DMP,TT,L,1,119
DMP_TT_29,DMP,TT,L,3,45
DMP_TT_31,DMP,TT,H,1,34
DMP_TT_31,DMP,TT,H,3,
KT__TT_02,KT,TT,L,1,53
KT__TT_02,KT,TT,L,3,30
KT_CH_03,KT,CH,H,1,28
KT_CH_03,KT,CH,H,3,28
KT_CH_04,KT,CH,L,1,71
KT_CH_04,KT,CH,L,3,78
KT_CH_09,KT,CH,H,1,56
KT_CH_09,KT,CH,H,3,
KT_CH_14,KT,CH,M,1,40
KT_CH_14,KT,CH,M,3,28
KT_CH_16,KT,CH,M,1,31
KT_CH_16,KT,CH,M,3,27
KT_CH_19,KT,CH,L,1,62
KT_CH_19,KT,CH,L,3,36
KT_CH_20,KT,CH,H,1,45
KT_CH_20,KT,CH,H,3,24
KT_CH_22,KT,CH,H,1,37
KT_CH_22,KT,CH,H,3,29
KT_CH_23,KT,CH,M,1,57
KT_CH_23,KT,CH,M,3,36
KT_CH_24,KT,CH,L,1,77
KT_CH_24,KT,CH,L,3,41
KT_CH_25,KT,CH,M,1,47
KT_CH_25,KT,CH,M,3,47
KT_CH_27,KT,CH,M,1,52
KT_CH_27,KT,CH,M,3,29
KT_CH_31,KT,CH,L,1,52
KT_CH_31,KT,CH,L,3,34
KT_TT_01,KT,TT,H,1,30
KT_TT_01,KT,TT,H,3,22
KT_TT_08,KT,TT,H,1,52
KT_TT_08,KT,TT,H,3,36
KT_TT_09,KT,TT,M,1,50
KT_TT_09,KT,TT,M,3,35
KT_TT_10,KT,TT,M,1,27
KT_TT_10,KT,TT,M,3,22
KT_TT_11,KT,TT,M,1,30
KT_TT_11,KT,TT,M,3,29
KT_TT_12,KT,TT,H,1,34
KT_TT_12,KT,TT,H,3,
KT_TT_15,KT,TT,H,1,44
KT_TT_15,KT,TT,H,3,25
KT_TT_16,KT,TT,H,1,30
KT_TT_16,KT,TT,H,3,29
KT_TT_24,KT,TT,L,1,68
KT_TT_24,KT,TT,L,3,30
KT_TT_27,KT,TT,M,1,53
KT_TT_27,KT,TT,M,3,
KT_TT_29,KT,TT,L,1,108
KT_TT_29,KT,TT,L,3,54
KT_TT_30,KT,TT,L,1,42
KT_TT_30,KT,TT,L,3,27
KT_TT_31,KT,TT,L,1,74
KT_TT_31,KT,TT,L,3,42
MH_CH_06,MH,CH,M,1,95
MH_CH_06,MH,CH,M,3,30
MH_CH_09,MH,CH,L,1,126
MH_CH_09,MH,CH,L,3,85
MH_CH_10,MH,CH,M,1,33
MH_CH_10,MH,CH,M,3,26
MH_CH_12,MH,CH,M,1,48
MH_CH_12,MH,CH,M,3,39
MH_CH_16,MH,CH,H,1,30
MH_CH_16,MH,CH,H,3,30
MH_CH_20,MH,CH,L,1,61
MH_CH_20,MH,CH,L,3,74
MH_CH_21,MH,CH,M,1,51
MH_CH_21,MH,CH,M,3,37
MH_CH_22,MH,CH,H,1,25
MH_CH_22,MH,CH,H,3,24
MH_CH_23,MH,CH,H,1,41
MH_CH_23,MH,CH,H,3,29
MH_CH_24,MH,CH,L,1,101
MH_CH_24,MH,CH,L,3,86
MH_CH_27,MH,CH,M,1,29
MH_CH_27,MH,CH,M,3,23
MH_CH_28,MH,CH,H,1,43
MH_CH_28,MH,CH,H,3,
MH_CH_30,MH,CH,L,1,78
MH_CH_30,MH,CH,L,3,32
MH_CH_31,MH,CH,M,1,31
MH_CH_31,MH,CH,M,3,29
MH_TT_01,MH,TT,M,1,126
MH_TT_01,MH,TT,M,3,
MH_TT_06,MH,TT,L,1,66
MH_TT_06,MH,TT,L,3,48
MH_TT_08,MH,TT,H,1,27
MH_TT_08,MH,TT,H,3,29
MH_TT_11,MH,TT,H,1,67
MH_TT_11,MH,TT,H,3,27
MH_TT_14,MH,TT,M,1,48
MH_TT_14,MH,TT,M,3,
MH_TT_21,MH,TT,L,1,68
MH_TT_21,MH,TT,L,3,33
MH_TT_22,MH,TT,L,1,85
MH_TT_22,MH,TT,L,3,56
MH_TT_24,MH,TT,H,1,50
MH_TT_24,MH,TT,H,3,41
MH_TT_26,MH,TT,H,1,39
MH_TT_26,MH,TT,H,3,35
MH_TT_27,MH,TT,M,1,53
MH_TT_27,MH,TT,M,3,27
MH_TT_28,MH,TT,M,1,58
MH_TT_28,MH,TT,M,3,59
MH_TT_31,MH,TT,M,1,38
MH_TT_31,MH,TT,M,3,32
