Sod,Species,Date,Time_pt,veg,live_dead,num_indiv_at_that_height,special_case_num_indiv,HvMax,HrMax,Diam,DiamHalf,Biomass_indiv,Bio_rest_of_individuals_of_sp
MH_CH_01,Dros spat,29.5.17,1,ch,,,,,,,,,
MH_CH_01,Empo minu,29.5.17,1,ch,,,,140,,8,6,,
MH_CH_01,Empo minu,29.5.17,1,ch,,,,,,,,,
MH_CH_01,Epac obtu,29.5.17,1,ch,,,,150,,2,2,,
MH_CH_01,Epac obtu,29.5.17,1,ch,,,,140,,2,2,,
MH_CH_01,Epac obtu,29.5.17,1,ch,,2,,100,,2,2,,
MH_CH_01,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_01,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_01,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_01,Gymn spha,29.5.17,1,ch,,,,410,,10,8,,
MH_CH_01,Gymn spha,29.5.17,1,ch,,,,,,,,,
MH_CH_01,Alma incu,29.5.17,1,ch,,,,80,,2,2,,
MH_CH_01,Alma incu,29.5.17,1,ch,,,,100,,2,2,,
MH_CH_01,Xyri ustu,29.5.17,1,ch,,,,190,,2,2,,
MH_CH_01,Xyri ustu,29.5.17,1,ch,,,,200,,2,2,,
MH_CH_02,Chor spha,29.5.17,1,ch,,,,890,,10,5,,
MH_CH_02,Chor spha,29.5.17,1,ch,,,,230,,3,2,,
MH_CH_02,Chor spha,29.5.17,1,ch,,,,,,,,,
MH_CH_02,Epac obtu,29.5.17,1,ch,,,,130,,2,2,,
MH_CH_02,Epac obtu,29.5.17,1,ch,,,,150,,2,2,,
MH_CH_02,Epac obtu,29.5.17,1,ch,,8,,70,,2,2,,
MH_CH_02,Epac obtu,29.5.17,1,ch,,,,20,,2,2,,
MH_CH_02,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_02,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_02,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_02,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_02,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_02,Gymn spha,29.5.17,1,ch,,,,340,,10,7,,
MH_CH_02,Lept juni,29.5.17,1,ch,,,,40,,2,2,,
MH_CH_02,Pult diva,29.5.17,1,ch,,,,120,,5,6,,
