Sod,Date,Time_pt,moist_1,moist_2,moist_3
MH_CH_01,24.3.17,1,91.5,89.1,88.9
MH_CH_02,24.3.17,1,90,41.3,90.5
MH_CH_03,24.3.17,1,85.5,83,89.6
MH_CH_04,24.3.17,1,90.4,89.9,90
MH_CH_05,24.3.17,1,84,79.5,72.5
MH_CH_06,24.3.17,1,81,78,81.5
MH_CH_07,24.3.17,1,45.1,92,50.5
MH_CH_08,24.3.17,1,89.4,88.1,90.7
MH_CH_09,24.3.17,1,91.6,90.8,47.9
MH_CH_10,24.3.17,1,92.3,88.8,86
MH_CH_11,24.3.17,1,89.7,91,88.6
MH_CH_12,24.3.17,1,91,89.6,85.5
MH_CH_13,24.3.17,1,66,74,85.5
MH_CH_14,24.3.17,1,88.8,90.4,92.3
MH_CH_15,24.3.17,1,84,89.4,91.8
MH_CH_16,24.3.17,1,80.5,83,40.3
MH_CH_17,24.3.17,1,21.9,12.7,5.1
MH_CH_18,24.3.17,1,77.5,88.8,84.5
MH_CH_19,24.3.17,1,83,67.5,69.5
MH_CH_20,24.3.17,1,72.5,88.8,88.6
MH_CH_21,24.3.17,1,72,83,67.5
MH_CH_22,24.3.17,1,84,77.5,89.7
MH_CH_23,24.3.17,1,39.8,55.3,68
MH_CH_24,24.3.17,1,73.5,57,83.5
MH_CH_25,24.3.17,1,52.5,90.8,45.4
MH_CH_26,24.3.17,1,75,47,84.5
MH_CH_27,24.3.17,1,72,88.8,89.9
MH_CH_28,24.3.17,1,65.5,88,32.7
MH_CH_29,24.3.17,1,89.7,83,90.4
MH_CH_30,24.3.17,1,46.3,30.7,27.7
MH_CH_31,24.3.17,1,76.5,79.5,71
MH_TT_01,24.3.17,1,48.2,63.5,75
MH_TT_02,24.3.17,1,84.5,81.5,88
MH_TT_03,24.3.17,1,75,37.2,82.5
MH_TT_04,24.3.17,1,88.9,89.7,77.5
MH_TT_05,24.3.17,1,73.5,72.5,65
MH_TT_06,24.3.17,1,75,86,88.8
MH_TT_07,24.3.17,1,18.4,41.8,31.2
MH_TT_08,24.3.17,1,40,46.8,88.1
MH_TT_09,24.3.17,1,89.7,72,90
MH_TT_10,24.3.17,1,53,31.8,31.2
MH_TT_11,24.3.17,1,30.3,27.6,21.7
MH_TT_12,24.3.17,1,41,40.1,38.3
MH_TT_13,24.3.17,1,27.9,42.4,28
MH_TT_14,24.3.17,1,81,42.4,75
MH_TT_15,24.3.17,1,47,71.5,41.7
MH_TT_16,24.3.17,1,43.8,63,48.5
MH_TT_17,24.3.17,1,na,na,na
MH_TT_18,24.3.17,1,79.5,49.2,76.5
MH_TT_19,24.3.17,1,88.1,88.8,90.8
MH_TT_20,24.3.17,1,88.6,88.9,88
MH_TT_21,24.3.17,1,78,74,61.5
MH_TT_22,24.3.17,1,37,74.5,29.1
MH_TT_23,24.3.17,1,91.5,91.6,91.3
MH_TT_24,24.3.17,1,29.8,89.7,91
MH_TT_25,24.3.17,1,56.5,37,44.4
MH_TT_26,24.3.17,1,57.5,37.4,35.3
MH_TT_27,24.3.17,1,38.6,37,41.4
MH_TT_28,24.3.17,1,9.7,16.9,5.3
MH_TT_29,24.3.17,1,26.7,26.7,29.4
MH_TT_30,24.3.17,1,25.2,22.6,26.8
MH_TT_31,24.3.17,1,13.2,13.6,8.9
MH_CH_01,6.4.17,2,82.5,92,90
MH_CH_02,6.4.17,2,70.5,27.1,24.6
MH_CH_03,6.4.17,2,60,68.5,71
MH_CH_04,6.4.17,2,91.5,91,91.3
MH_CH_05,6.4.17,2,45.8,37,72.5
MH_CH_06,6.4.17,2,70.5,63,66
MH_CH_07,6.4.17,2,89.7,61.5,47.9
MH_CH_08,6.4.17,2,84,70.5,72.5
MH_CH_09,6.4.17,2,63.5,86,59
MH_CH_10,6.4.17,2,88.9,68,67.5
MH_CH_11,6.4.17,2,80.5,89.1,81
MH_CH_12,6.4.17,2,56,47.2,68
MH_CH_13,6.4.17,2,43.8,46.2,35.8
MH_CH_14,6.4.17,2,75,59.5,69
MH_CH_15,6.4.17,2,69,48.7,47.9
MH_CH_16,6.4.17,2,88.6,51,88.1
MH_CH_17,6.4.17,2,11.2,0,0
MH_CH_18,6.4.17,2,76.5,91.6,55.3
MH_CH_19,6.4.17,2,71,62.5,72.5
MH_CH_20,6.4.17,2,62.5,64.5,47.6
MH_CH_21,6.4.17,2,49.4,46.5,48.6
MH_CH_22,6.4.17,2,88.9,88,62
MH_CH_23,6.4.17,2,19.7,22.3,47.6
MH_CH_24,6.4.17,2,47.4,48.2,43.4
MH_CH_25,6.4.17,2,43.6,89.6,38.8
MH_CH_26,6.4.17,2,46.6,67.5,75.5
MH_CH_27,6.4.17,2,45.2,83,56.5
MH_CH_28,6.4.17,2,68,80,33.4
MH_CH_29,6.4.17,2,90,46.2,82.5
MH_CH_30,6.4.17,2,19.8,35.8,25.1
MH_CH_31,6.4.17,2,81,78.5,72
MH_TT_01,6.4.17,2,77.5,47.6,68.5
MH_TT_02,6.4.17,2,68.5,72.5,62.5
MH_TT_03,6.4.17,2,76.5,50.5,84
MH_TT_04,6.4.17,2,47.9,75,49
MH_TT_05,6.4.17,2,63.5,54.5,50.5
MH_TT_06,6.4.17,2,55.5,86,38.3
MH_TT_07,6.4.17,2,13.6,16.7,18.9
MH_TT_08,6.4.17,2,69.5,88.9,85.5
MH_TT_09,6.4.17,2,89.9,91.6,84.5
MH_TT_10,6.4.17,2,34.8,29,28.1
MH_TT_11,6.4.17,2,31.3,39.4,32.2
MH_TT_12,6.4.17,2,36.1,40.8,41.3
MH_TT_13,6.4.17,2,31.4,43.8,36.2
MH_TT_14,6.4.17,2,75,83,47.5
MH_TT_15,6.4.17,2,46.1,33.5,47.1
MH_TT_16,6.4.17,2,37,42.6,35.4
MH_TT_17,6.4.17,2,69,42,26.1
MH_TT_18,6.4.17,2,80,65.5,75
MH_TT_19,6.4.17,2,73.5,47.9,83.5
MH_TT_20,6.4.17,2,90.7,88.6,89.6
MH_TT_21,6.4.17,2,34.6,46.6,47.3
MH_TT_22,6.4.17,2,25.9,34.8,31.6
MH_TT_23,6.4.17,2,89.9,92.6,90.8
MH_TT_24,6.4.17,2,83.5,89.7,90.8
MH_TT_25,6.4.17,2,34.3,45,40.2
MH_TT_26,6.4.17,2,39.8,38.2,29.5
MH_TT_27,6.4.17,2,41,40.2,40.4
MH_TT_28,6.4.17,2,9.7,22.9,18
MH_TT_29,6.4.17,2,37.2,22.9,33.6
MH_TT_30,6.4.17,2,23.5,19.2,28.1
MH_TT_31,6.4.17,2,13.2,14.7,16
MH_CH_01,20.4.17,3,91.6,47.9,93.2
MH_CH_02,20.4.17,3,49,41.9,14.5
MH_CH_03,20.4.17,3,47,77,54.5
MH_CH_04,20.4.17,3,90.4,90.5,90.7
MH_CH_05,20.4.17,3,47,43,38.4
MH_CH_06,20.4.17,3,46.7,53,50.5
MH_CH_07,20.4.17,3,81.5,51.5,55.5
MH_CH_08,20.4.17,3,78.5,72.5,83.5
MH_CH_09,20.4.17,3,49.4,88,31.9
MH_CH_10,20.4.17,3,47.9,79.5,91
MH_CH_11,20.4.17,3,65.5,81.5,52.5
MH_CH_12,20.4.17,3,39.6,71,44.9
MH_CH_13,20.4.17,3,33.3,30.8,24.1
MH_CH_14,20.4.17,3,68,31.1,74
MH_CH_15,20.4.17,3,48.2,57,44.6
MH_CH_16,20.4.17,3,77.5,89.1,80
MH_CH_17,20.4.17,3,0,0,4.5
MH_CH_18,20.4.17,3,90.5,90.5,88
MH_CH_19,20.4.17,3,80.5,70.5,83.5
MH_CH_20,20.4.17,3,54.5,64.5,41
MH_CH_21,20.4.17,3,58.5,59.5,44.7
MH_CH_22,20.4.17,3,55.5,89.4,55.3
