Family,Species code,Species name,Substrate,Water_trait_derived,Fire response,,Source
Fabaceae,Acac ptyc,Acacia ptychoclada,Impeded drainage,Medium,Unknown,,Benson and McDougall 1996
Fabaceae,Acac rubi,Acacia rubida,No specific water requirements,Low,Resprouter,,Benson and McDougall 1996
Asteraceae,Ager aden,Ageratina adenophora,"Water table permanently high-mostly high, moisture supply continuous-intermittent",High,Resprouter,,Benson and McDougall 1994
Fabaceae,Alma incu,Almaleea incurvata,"Water table permanently high, moisture supply continuous",High,Killed,,Benson and McDougall 1996
Poaceae,Andro virgi,Andrpogon virginicus,No specific water requirements,Low,Resprouter,,Benson and McDougall 2005
Myrtaceae,Baec imbr,Baeckea imbricata,Often poorly-drained,Medium,Variable,,Benson and McDougall 1998
Myrtaceae,Baec lini,Baeckea linifolia,Poorly-drained,Medium,Resprouter,,Benson and McDougall 1998
Proteaceae,Bank eric,Banksia ericifolia,Periodically poorly-drained,Medium,Killed,,Benson and McDougall 2000
Proteaceae,Bank oblo,Banksia oblongifolia,Poorly drained,Medium,Resprouter,,Benson and McDougall 2000
Proteaceae,Bank robu,Banksia robur,Sandy or peaty swamps,Medium,Resprouter,,Benson and McDougall 2000
Cunoniaceae,Baue rubi,Bauera rubioides,usually grows in wet situations,Medium,Unknown,,Plantnet
Cyperaceae,Baum gunn,Baumea gunnii,poorly-drained,Medium,Resprouter,,Benson and McDougall 2002
Cyperaceae,Baum rubi,Baumea rubiginosa,poorly-drained,Medium,Resprouter,,Benson and McDougall 2002
Cyperaceae,Baum tere,Baumea teretifolia,poorly-drained,Medium,Resprouter,,Benson and McDougall 2002
Blandfordiaceae,Blan nobi,Blandfordia nobilis,moist,Medium,Resprouter,,Benson and McDougall 2002
Rutaceae,Boro parv,Boronia parviflora,peaty soils and deep sandy swamps,Low,Resprouter,,Benson and McDougall 2001
Myrtaceae,Call citr,Callistemon citrinus,Peaty sand and swamp No specific water requirements,Low,Resprouter,,Benson and McDougall 1998 / Plantnet
Lauraceae,Cass pube,Cassytha pubescens,Well-drained,Low,Killed,,Benson and McDougall 1997
Centrolepidaceae,Cent fasc,Centrolepis fascicularis,permanently moist,High,Unknown,,Benson and McDougall 2002
Cyperaceae,Chor cymb,Chorizandra cymbaria,periodically inundated,Medium,Resprouter,,Benson and McDougall 2002
Cyperaceae,Chor spha,Chorizandra sphaerocephala,permanently moist,High,Resprouter,,Benson and McDougall 2002
Polygalaceae,Come retu,Comesperma retusum,permanently moist,High,Resprouter,,Benson and McDougall 1999
Asteraceae,Cony albi,Conyza albida,"Water table mostly low, moisture supply intermittent",Low,Killed,,Benson and McDougall 1994
Rhamnaceae,Cryp eric,Cryptandra ericoides,Damp sandy soil,Medium,Killed,,Benson and McDougall 2000
Goodeniaceae,Damp stri,Dampiera stricta,No specific water requirements,Low,Resprouter,,Benson and McDougall 1997
Poaceae,Deye deci,Deyeuxia decipiens,poorly drained,Medium,resprouter,,Benson and McDougall 2005
Fabaceae,Dill flor,Dillwynia floribunda,Impeded drainage,Medium,Killed,,Benson and McDougall 1996
Droseraceae,Dros bina,Drosera binata,"poorly drained, moisture supply continuous",High,Resprouter,,Benson and McDougall 1995
Droseraceae,Dros pelt,Drosera peltata,poorly-drained,Medium,Resprouter,,Benson and McDougall 1995
Droseraceae,Dros spat,Drosera spatulata,"poorly drained, wet places",Medium,Resprouter,,Benson and McDougall 1995
Restionaceae,Empo minu,Empodisma minus,"sandy peaty soil, permanently moist",High,Resprouter,,Benson and McDougall 2005
