Sod,veg,water_treatment,fire_treatment,,,,,
CAT_CH_01,ch,H,b,,,,,
CAT_CH_02,ch,L,b,,,,,
CAT_CH_03,ch,L,b,,,,,
CAT_CH_04,ch,M,ub,,,,,
CAT_CH_05,ch,L,ub,,,,,
CAT_CH_06,ch,L,b,,,,,
CAT_CH_07,ch,H,b,,,,,
CAT_CH_08,ch,H,ub,,,,,
CAT_CH_09,ch,M,b,,,,,
CAT_CH_10,ch,M,ub,,,,,
CAT_CH_11,ch,M,b,,,,,
CAT_CH_12,ch,H,b,,,,,
CAT_CH_13,ch,H,ub,,,,,
CAT_CH_14,ch,M,ub,,,,,
CAT_CH_15,ch,H,ub,,,,,
CAT_CH_16,ch,H,b,,,,,
CAT_CH_17,ch,H,ub,,,,,
CAT_CH_18,ch,M,ub,,,,,
CAT_CH_19,ch,M,b,,,,,
CAT_CH_20,ch,H,b,,,,,
CAT_CH_21,ch,L,ub,,,,,
CAT_CH_22,ch,L,b,,,,,
CAT_CH_23,ch,H,ub,,,,,
CAT_CH_24,ch,L,ub,,,,,
CAT_CH_25,ch,M,ub,,,,,
CAT_CH_26,ch,L,ub,,,,,
CAT_CH_27,ch,M,ub,,,,,
CAT_CH_28,ch,M,b,,,,,
CAT_CH_29,ch,L,b,,,,,
CAT_CH_30,ch,L,ub,,,,,
CAT_CH_31,ch,M,b,,,,,
CAT_TT_01,tt,L,ub,,,,,
CAT_TT_02,tt,M,b,,,,,
CAT_TT_03,tt,H,b,,,,,
CAT_TT_04,tt,L,ub,,,,,
CAT_TT_05,tt,H,b,,,,,
CAT_TT_06,tt,H,ub,,,,,
CAT_TT_07,tt,L,ub,,,,,
CAT_TT_08,tt,M,b,,,,,
CAT_TT_09,tt,H,ub,,,,,
CAT_TT_10,tt,L,b,,,,,
CAT_TT_11,tt,H,ub,,,,,
CAT_TT_12,tt,H,ub,,,,,
CAT_TT_13,tt,L,b,,,,,
CAT_TT_14,tt,M,ub,,,,,
CAT_TT_15,tt,L,b,,,,,
CAT_TT_16,tt,M,b,,,,,
CAT_TT_17,tt,M,b,,,,,
CAT_TT_18,tt,M,ub,,,,,
CAT_TT_19,tt,L,b,,,,,
CAT_TT_20,tt,H,ub,,,,,
CAT_TT_21,tt,L,ub,,,,,
CAT_TT_22,tt,H,ub,,,,,
CAT_TT_23,tt,M,ub,,,,,
CAT_TT_24,tt,L,ub,,,,,
CAT_TT_25,tt,M,ub,,,,,
CAT_TT_26,tt,H,b,,,,,
CAT_TT_27,tt,M,ub,,,,,
CAT_TT_28,tt,H,b,,,,,
CAT_TT_29,tt,L,b,,,,,
CAT_TT_30,tt,M,b,,,,,
CAT_TT_31,tt,H,b,,,,,
DMP_CH_01,ch,L,ub,,,,,
DMP_CH_02,ch,H,b,,,,,
DMP_CH_03,ch,L,b,,,,,
DMP_CH_04,ch,M,b,,,,,
DMP_CH_05,ch,H,ub,,,,,
DMP_CH_06,ch,L,b,,,,,
DMP_CH_07,ch,M,ub,,,,,
DMP_CH_08,ch,H,b,,,,,
DMP_CH_09,ch,M,b,,,,,
DMP_CH_10,ch,L,ub,,,,,
DMP_CH_11,ch,M,ub,,,,,
DMP_CH_12,ch,M,ub,,,,,
DMP_CH_13,ch,M,b,,,,,
DMP_CH_14,ch,L,b,,,,,
DMP_CH_15,ch,H,ub,,,,,
DMP_CH_16,ch,L,b,,,,,
DMP_CH_17,ch,L,ub,,,,,
DMP_CH_18,ch,L,ub,,,,,
DMP_CH_19,ch,H,b,,,,,
DMP_CH_20,ch,H,ub,,,,,
DMP_CH_21,ch,L,b,,,,,
DMP_CH_22,ch,H,ub,,,,,
DMP_CH_23,ch,H,ub,,,,,
DMP_CH_24,ch,M,b,,,,,
DMP_CH_25,ch,L,ub,,,,,
DMP_CH_26,ch,H,b,,,,,
DMP_CH_27,ch,M,b,,,,,
DMP_CH_28,ch,H,b,,,,,
DMP_CH_29,ch,M,ub,,,,,
DMP_CH_30,ch,M,ub,,,,,
DMP_CH_31,ch,L,b,,,,,
DMP_TT_01,tt,H,b,,,,,
DMP_TT_02,tt,M,b,,,,,
DMP_TT_03,tt,M,ub,,,,,
DMP_TT_04,tt,H,ub,,,,,
DMP_TT_05,tt,L,ub,,,,,
DMP_TT_06,tt,L,b,,,,,
DMP_TT_07,tt,L,ub,,,,,
DMP_TT_08,tt,L,ub,,,,,
DMP_TT_09,tt,H,b,,,,,
DMP_TT_10,tt,H,b,,,,,
DMP_TT_11,tt,H,ub,,,,,
DMP_TT_12,tt,H,b,,,,,
DMP_TT_13,tt,L,b,,,,,
DMP_TT_14,tt,M,b,,,,,
DMP_TT_15,tt,M,b,,,,,
DMP_TT_16,tt,M,b,,,,,
DMP_TT_17,tt,L,ub,,,,,
DMP_TT_18,tt,M,ub,,,,,
DMP_TT_19,tt,M,ub,,,,,
DMP_TT_20,tt,M,ub,,,,,
DMP_TT_21,tt,H,ub,,,,,
DMP_TT_22,tt,L,b,,,,,
DMP_TT_23,tt,L,b,,,,,
DMP_TT_24,tt,H,ub,,,,,
DMP_TT_25,tt,H,ub,,,,,
DMP_TT_26,tt,M,ub,,,,,
DMP_TT_27,tt,H,ub,,,,,
DMP_TT_28,tt,M,b,,,,,
DMP_TT_29,tt,L,b,,,,,
DMP_TT_30,tt,L,ub,,,,,
DMP_TT_31,tt,H,b,,,,,
KT_CH_01,ch,L,ub,,,,,
KT_CH_02,ch,M,ub,,,,,
KT_CH_03,ch,H,b,,,,,
KT_CH_04,ch,L,b,,,,,
KT_CH_05,ch,H,ub,,,,,
KT_CH_06,ch,H,ub,,,,,
KT_CH_07,ch,L,ub,,,,,
