Sod,Swamp,veg,water_treatment,fire_treatment
CAT_CH_01,CAT,ch,H,b
CAT_CH_02,CAT,ch,L,b
CAT_CH_03,CAT,ch,L,b
CAT_CH_04,CAT,ch,M,ub
CAT_CH_05,CAT,ch,L,ub
CAT_CH_06,CAT,ch,L,b
CAT_CH_07,CAT,ch,H,b
CAT_CH_08,CAT,ch,H,ub
CAT_CH_09,CAT,ch,M,b
CAT_CH_10,CAT,ch,M,ub
CAT_CH_11,CAT,ch,M,b
CAT_CH_12,CAT,ch,H,b
CAT_CH_13,CAT,ch,H,ub
CAT_CH_14,CAT,ch,M,ub
CAT_CH_15,CAT,ch,H,ub
CAT_CH_16,CAT,ch,H,b
CAT_CH_17,CAT,ch,H,ub
CAT_CH_18,CAT,ch,M,ub
CAT_CH_19,CAT,ch,M,b
CAT_CH_20,CAT,ch,H,b
CAT_CH_21,CAT,ch,L,ub
CAT_CH_22,CAT,ch,L,b
CAT_CH_23,CAT,ch,H,ub
CAT_CH_24,CAT,ch,L,ub
CAT_CH_25,CAT,ch,M,ub
CAT_CH_26,CAT,ch,L,ub
CAT_CH_27,CAT,ch,M,ub
CAT_CH_28,CAT,ch,M,b
CAT_CH_29,CAT,ch,L,b
CAT_CH_30,CAT,ch,L,ub
CAT_CH_31,CAT,ch,M,b
CAT_TT_01,CAT,tt,L,ub
CAT_TT_02,CAT,tt,M,b
CAT_TT_03,CAT,tt,H,b
CAT_TT_04,CAT,tt,L,ub
CAT_TT_05,CAT,tt,H,b
CAT_TT_06,CAT,tt,H,ub
CAT_TT_07,CAT,tt,L,ub
CAT_TT_08,CAT,tt,M,b
CAT_TT_09,CAT,tt,H,ub
CAT_TT_10,CAT,tt,L,b
CAT_TT_11,CAT,tt,H,ub
CAT_TT_12,CAT,tt,H,ub
CAT_TT_13,CAT,tt,L,b
CAT_TT_14,CAT,tt,M,ub
CAT_TT_15,CAT,tt,L,b
CAT_TT_16,CAT,tt,M,b
CAT_TT_17,CAT,tt,M,b
CAT_TT_18,CAT,tt,M,ub
CAT_TT_19,CAT,tt,L,b
CAT_TT_20,CAT,tt,H,ub
CAT_TT_21,CAT,tt,L,ub
CAT_TT_22,CAT,tt,H,ub
CAT_TT_23,CAT,tt,M,ub
